Timestamp,Kirsch Center Net Meter Real Power,S6 Central Plant Gas Meter Gas Consumption,Kirsch Center Net Meter Net Energy Consumed
2024-04-24T23:45:00-07:00 Los_Angeles,9.609999656677246kW,167339.796875hundred_cubic_feet_natural_gas,""
2024-04-25T00:00:00-07:00 Los_Angeles,9.579999923706055kW,167339.796875hundred_cubic_feet_natural_gas,3kWh
2024-04-25T00:15:00-07:00 Los_Angeles,8.449999809265137kW,167339.796875hundred_cubic_feet_natural_gas,2kWh
2024-04-25T00:30:00-07:00 Los_Angeles,8.670000076293945kW,167339.796875hundred_cubic_feet_natural_gas,2kWh
2024-04-25T00:45:00-07:00 Los_Angeles,8.680000305175781kW,167341.203125hundred_cubic_feet_natural_gas,2kWh
2024-04-25T01:00:00-07:00 Los_Angeles,8.600000381469727kW,167341.609375hundred_cubic_feet_natural_gas,3kWh
2024-04-25T01:15:00-07:00 Los_Angeles,8.649999618530273kW,167341.609375hundred_cubic_feet_natural_gas,2kWh
2024-04-25T01:30:00-07:00 Los_Angeles,8.569999694824219kW,167342.296875hundred_cubic_feet_natural_gas,2kWh
2024-04-25T01:45:00-07:00 Los_Angeles,8.470000267028809kW,167342.796875hundred_cubic_feet_natural_gas,2kWh
2024-04-25T02:00:00-07:00 Los_Angeles,8.550000190734863kW,167343.109375hundred_cubic_feet_natural_gas,2kWh
2024-04-25T02:15:00-07:00 Los_Angeles,8.510000228881836kW,167343.40625hundred_cubic_feet_natural_gas,2kWh
2024-04-25T02:30:00-07:00 Los_Angeles,8.479999542236328kW,167343.40625hundred_cubic_feet_natural_gas,2kWh
2024-04-25T02:45:00-07:00 Los_Angeles,8.510000228881836kW,167343.40625hundred_cubic_feet_natural_gas,3kWh
2024-04-25T03:00:00-07:00 Los_Angeles,8.449999809265137kW,167344.796875hundred_cubic_feet_natural_gas,2kWh
2024-04-25T03:15:00-07:00 Los_Angeles,8.5600004196167kW,167345.109375hundred_cubic_feet_natural_gas,2kWh
2024-04-25T03:30:00-07:00 Los_Angeles,8.65999984741211kW,167345.109375hundred_cubic_feet_natural_gas,2kWh
2024-04-25T03:45:00-07:00 Los_Angeles,8.59000015258789kW,167345.5hundred_cubic_feet_natural_gas,2kWh
2024-04-25T04:00:00-07:00 Los_Angeles,8.550000190734863kW,167346hundred_cubic_feet_natural_gas,2kWh
2024-04-25T04:15:00-07:00 Los_Angeles,8.569999694824219kW,167346.296875hundred_cubic_feet_natural_gas,2kWh
2024-04-25T04:30:00-07:00 Los_Angeles,8.649999618530273kW,167346.703125hundred_cubic_feet_natural_gas,3kWh
2024-04-25T04:45:00-07:00 Los_Angeles,9.279999732971191kW,167346.703125hundred_cubic_feet_natural_gas,2kWh
2024-04-25T05:00:00-07:00 Los_Angeles,8.40999984741211kW,167348.5hundred_cubic_feet_natural_gas,2kWh
2024-04-25T05:15:00-07:00 Los_Angeles,8.960000038146973kW,167351hundred_cubic_feet_natural_gas,2kWh
2024-04-25T05:30:00-07:00 Los_Angeles,8.890000343322754kW,167353.609375hundred_cubic_feet_natural_gas,2kWh
2024-04-25T05:45:00-07:00 Los_Angeles,8.899999618530273kW,167355.796875hundred_cubic_feet_natural_gas,3kWh
2024-04-25T06:00:00-07:00 Los_Angeles,9.520000457763672kW,167357.203125hundred_cubic_feet_natural_gas,2kWh
2024-04-25T06:15:00-07:00 Los_Angeles,10.760000228881836kW,167358.703125hundred_cubic_feet_natural_gas,3kWh
2024-04-25T06:30:00-07:00 Los_Angeles,10.529999732971191kW,167360.296875hundred_cubic_feet_natural_gas,2kWh
